,price
24132,5998
15080,9470
57760,16690
58209,26490
8783,3275
48622,13490
66746,8000
28337,11795
58286,15595
55869,12395
60444,5991
9665,20495
44902,18490
1967,26995
43487,10857
58048,11090
21191,44000
36420,17000
27828,17199
68016,11999
16990,9300
12988,19650
20938,8795
2966,14498
52951,10995
38516,3930
38953,20450
25413,11295
49310,8975
40178,19495
37261,5782
37861,10491
66336,13299
23115,48399
40099,8495
41673,16998
38588,33789
55689,7995
8251,32490
19376,27990
24022,33999
1693,12400
64364,15999
44272,7750
42486,15750
67830,10495
57385,13295
53280,16998
24606,12995
2161,9250
57770,20990
29383,8500
61211,17995
6443,21470
71044,19248
24467,32990
21095,10498
48452,9495
67217,8495
36290,19999
7628,6795
67039,20995
42133,31495
74800,19500
10701,18980
27779,31480
71830,24990
12312,36950
46948,11700
47682,10990
23462,7498
46627,11000
23046,12360
70833,22990
66548,16199
7238,8750
53729,20391
53878,36450
43260,18030
10217,24495
10725,6271
33207,15998
15808,9000
8471,23495
39849,23000
5544,13750
63247,9995
45589,20498
10632,19995
8279,4995
29316,21950
58636,6995
16980,23799
4752,25450
54113,20299
51137,25980
59309,18490
71244,24750
6933,17997
27060,10498
57532,11300
54189,7332
21887,19795
28089,16860
42248,16924
5275,14400
46286,7295
20013,23940
42431,21495
49421,5990
24906,10991
40657,9950
26926,15995
21180,7500
39403,9990
19040,9990
58639,22950
58643,2495
28269,7998
28483,33570
74268,9000
53641,19498
11427,16000
73302,22990
16046,9750
70201,9491
24583,28998
35182,58988
42382,19990
10209,9985
23153,23990
60118,28775
10181,13890
4719,50980
51833,10000
66140,10491
3882,17060
39037,34999
45697,5999
42445,13199
69276,14498
24118,17298
21864,22000
58557,8081
14330,25500
27165,19750
28125,6740
33621,13999
62818,20299
19825,18990
65220,18495
48725,20000
54423,9499
24303,10469
39956,14799
7520,16995
11003,10491
58504,19850
21531,10295
18594,11895
4293,14495
42265,16799
37852,8490
21839,10995
57888,21995
45334,5295
43361,16500
9881,11495
55996,33450
75717,12795
26040,17999
19602,18495
7007,13199
43009,14495
50935,14995
43582,12300
63673,34498
66813,13995
66068,15950
71511,13299
69718,15990
16683,7495
56099,8334
21201,19998
61957,7900
2222,9898
65745,10480
63172,17249
39630,14495
70451,19990
31966,16299
53039,16290
14867,5620
10850,8990
50806,19490
49179,19495
25037,9899
66553,18498
59520,7998
6411,26249
24831,6950
54076,12000
64878,24990
49601,11495
17358,29980
55641,6795
32972,8999
44179,19047
40190,16598
60677,7250
34336,25750
66229,10598
57894,13500
49689,21980
7807,5299
15212,8000
8235,16998
3831,19900
21472,10500
2629,7691
60234,9990
5075,10999
39748,13900
55414,27610
9245,12498
25728,10000
3807,10399
20342,15498
10056,9999
65614,17800
45735,11999
8995,9700
26069,8498
74591,22532
31302,16570
56286,20225
39470,15485
12336,15690
39186,8999
14869,22450
33959,8499
69393,21998
26316,17990
18693,11495
54732,18990
66234,11295
27383,12798
46387,8999
75148,10499
53944,5991
5975,16995
13984,18691
6934,9600
4524,15495
34434,35399
4701,12490
28087,18290
51097,12999
34922,8495
8157,27850
7919,16442
23582,7495
57379,46426
39847,39995
27668,31450
20485,29699
45588,9000
8090,9495
43669,7590
41322,40800
58576,10700
69392,20049
23386,8995
54827,12590
21252,12495
1043,19995
43779,30495
51584,13450
5962,14499
642,11700
38656,12791
49443,9000
19772,20998
7386,8999
2164,12800
66893,11700
44811,16117
22929,9037
9640,7600
38638,13498
30649,14790
71146,24450
15691,22600
14163,42495
31745,19400
54183,7561
7683,9100
34327,29485
10717,18499
72139,8995
6257,24990
53561,15498
21230,26700
24259,9499
24181,9460
59115,29249
15504,34980
49391,30783
32327,14600
6712,18790
56491,10495
68532,16790
43214,18257
32635,25995
68053,12000
31342,8990
3047,30850
35123,12000
68398,6490
25033,18900
51618,7450
39571,10495
53738,20999
5982,14997
6078,10998
53715,13395
47902,22591
50822,17499
59094,10000
41040,21980
16679,8740
51893,13998
40991,32727
72236,10260
28976,41750
67155,26396
40357,15700
2682,18495
74710,26498
71406,10552
55384,10490
48889,11998
70517,24500
75604,7650
30861,6385
15055,8998
59026,6500
64250,6420
19264,29903
12862,15690
46572,27980
52978,19998
51363,9690
50352,5995
51761,5990
3952,39995
61607,2995
63072,12495
60129,12900
74081,9855
11872,38248
30862,14991
39280,14900
49218,19895
20358,9995
24360,11795
65365,6500
74818,10510
62153,13920
47339,25780
30130,10399
34433,13094
4129,5195
64131,14090
66231,22499
15322,21732
43866,21000
23640,25000
67784,15800
63957,8690
31011,7275
54923,4850
11208,16799
4554,11495
53791,52496
72063,15485
13066,14998
29529,12495
20620,6995
6312,6800
27665,16698
56737,13698
31184,10991
38843,53490
57174,6720
42389,15890
61764,62399
74232,54399
50205,11750
20375,18500
61751,9499
188,32998
44208,25991
68493,26499
7869,30543
66716,22510
42397,37490
7360,11795
8210,33690
30449,36990
54847,10142
49640,13985
60965,34980
69724,32489
59336,6800
75881,22500
32849,9495
60897,21000
22381,25491
27111,61899
60011,5489
54134,4998
40426,28995
10501,7000
66921,18450
35039,11000
72514,30999
49020,18750
55695,14699
21590,20995
16358,8400
32304,18195
40664,14500
30948,17000
54804,25775
5538,22150
53091,7195
20807,17298
37329,10790
47656,11479
68809,13500
58252,9698
20571,17500
28122,14000
43021,31995
28052,9615
73002,20450
32117,16900
54489,13200
4985,25636
22850,14995
41786,9995
73337,17500
33469,22690
12267,9840
59045,8955
53154,22499
74226,18490
9090,14997
63682,25980
17084,13990
15250,7900
26283,16499
69515,13595
55207,16250
25205,16999
11823,8619
61946,25895
56633,11195
16936,17182
8399,10790
25927,8495
61494,47950
7117,15289
10791,24980
60406,9761
47920,29990
8512,6990
39233,26945
45359,19995
25497,15495
70183,33999
48556,15590
62413,8495
15979,20495
38862,11300
37863,14200
52700,17900
60318,9512
74190,20299
49474,6498
67391,19498
19707,9200
341,24990
11975,9450
28187,33509
70363,18450
43450,9995
17219,37890
52029,24690
50373,42275
386,13999
26892,9695
22763,14311
33412,20998
4072,8495
7783,22990
48520,7699
39703,18498
55763,11795
11628,9800
1479,11240
48276,20995
12767,13998
53681,23498
46480,13389
65675,5328
19372,10499
58656,20990
26200,31000
12367,16700
13768,7713
60614,13499
54311,8470
2400,11498
47094,19750
51520,5939
29273,22450
12262,8800
74809,25389
6517,21480
16869,25999
15948,11500
44792,16495
16794,18490
65731,25000
29440,24495
60110,9999
13813,13800
5526,18761
25573,24480
73308,12698
52922,28995
46549,44670
24235,15000
54470,18500
25948,13791
31531,24617
51827,13271
67815,21350
75134,10795
33548,14990
49426,15490
65327,17995
33264,26972
13548,18999
7318,15489
75415,27450
70070,15998
53935,17340
30942,19995
12719,45000
4577,22465
71795,14498
52696,15998
7993,19998
25614,14980
19253,20698
41260,10995
38474,4738
53742,33000
3510,14399
2172,21498
4711,5610
11810,7298
54173,13795
20775,10099
64989,11500
9808,7168
60934,10299
63048,17400
28165,10400
56151,29987
63681,15990
41221,31995
48719,16999
54170,23256
72014,22482
71805,11000
37539,14880
62548,16100
2263,15950
28596,8490
61415,28295
44500,20998
17991,30900
1490,28999
6492,9442
46799,9995
9867,11250
33952,22491
51127,22995
18840,13290
47493,12450
42913,13495
75405,8500
68709,6051
54028,5999
65387,18899
6681,10500
47900,4000
32559,36498
10344,18995
36246,20990
60527,18485
16998,4825
74230,17799
38042,16000
66419,10799
17106,14000
35971,19780
15243,27950
58737,45799
74622,13498
26983,22990
36641,16950
56781,22680
6232,17999
29749,22291
4349,9795
19061,3495
68691,10950
62362,18450
54684,24995
63606,23444
57056,7191
416,11500
47220,19012
22116,20699
50816,12995
28752,20399
34085,12272
46881,21995
53445,17499
14033,47995
56733,6988
30194,15199
55184,15490
14128,11985
44629,14099
23342,6990
242,16395
35068,10990
40790,7699
45363,11872
35681,19695
64169,10995
16932,19860
10224,12498
65779,14999
71250,9495
45358,10495
141,22998
51163,12999
23381,10795
2575,16726
7332,8330
49878,7140
27721,52555
35205,19950
74602,54000
25595,11852
30939,16000
66304,12048
7973,17997
74663,28856
36788,12590
8685,12600
40017,29998
21790,24999
41284,6291
18377,7499
52687,10495
19013,7699
2346,6950
11272,29999
16261,10491
64350,17995
49504,11990
72562,19250
24501,13999
70566,9199
61964,13500
61453,14750
56143,2495
429,26998
56050,7762
72772,17551
12041,12881
20693,33000
2619,17450
46802,8750
74977,28755
46992,12000
11219,21779
56007,15990
24046,17245
52913,10299
72569,30999
24304,6495
36455,12250
5054,9500
30709,19498
21664,4172
40577,27790
4888,32300
56391,25481
1804,12590
7307,28500
27863,29495
28014,10998
7814,17900
55668,86699
71287,7500
51014,20650
51333,11498
50981,32000
12294,20991
48391,13227
43811,5150
46166,12499
59840,9460
12914,9491
28290,9691
68253,30999
61596,13475
75769,7498
39589,14499
51511,13490
37786,10998
35272,9991
14660,23000
60163,13990
44108,2495
32054,12498
50153,14000
21663,10950
27788,27698
46075,25980
1777,9700
38971,16995
44135,21680
15812,2595
60635,17995
60981,8495
42525,10995
32528,23998
17218,16898
59862,15717
55209,12392
68771,35995
28390,13991
36953,15890
72176,29480
56177,6700
47747,8880
27791,4995
9470,17490
11177,11500
31067,12990
33770,9950
33956,10688
47090,16995
25467,10562
71170,11300
42120,19500
39014,19995
70185,26500
11935,18490
67751,7999
15749,13491
30807,10491
16252,8500
57259,22480
67273,6760
65383,11499
52679,25995
46416,6572
17147,8795
63898,13500
50354,61995
14011,20184
8863,14499
15659,17300
30647,11890
75788,15495
10961,44980
58609,5990
46934,15000
70192,14600
15475,4495
28442,57490
25621,17990
63728,11000
28993,7201
4413,19320
4415,13225
20813,51900
69808,8796
53900,11950
36760,16798
49538,18280
4430,13498
62453,8210
31417,11850
27311,42995
17666,19999
32751,10350
15430,10990
15488,21295
36441,28491
3286,17799
54193,16982
55377,12230
5177,9991
58831,12470
18672,16500
73710,41850
72601,16990
1791,14999
68056,13495
20331,5990
24749,9700
35307,14000
70765,12495
47688,7250
51173,31450
50897,8810
38055,25490
65667,30850
72221,9990
57725,6698
25349,41945
60422,10851
23020,25520
46476,9400
15725,7695
41454,14990
10141,26490
63302,8499
56893,15900
13731,13499
20773,29449
45504,38750
5184,21399
38938,10600
62467,11200
27836,10998
20997,11999
15910,10062
8687,19250
30389,17298
64052,11171
22509,39990
397,19849
15779,24290
26157,11998
43341,13399
1566,17995
59686,33591
57341,30045
37629,6999
22617,11995
50369,10495
15514,31790
29702,4999
25249,36500
23903,28001
61464,10995
46586,34981
27510,19940
14299,7140
10086,15490
50543,29480
49752,21950
20671,5450
75379,12695
11413,15999
49387,12430
16089,9290
8704,14500
18041,6800
44717,31980
25510,14255
55088,12490
1603,31990
60841,7495
22035,13496
22218,13490
35851,17995
63639,21998
69281,12990
41415,19645
46126,6495
30408,24295
42851,14998
36753,11340
63199,30000
39859,12495
60117,17980
46152,13790
65361,6795
16971,21990
50388,15637
56564,6751
28388,9922
66123,11695
53370,8698
75246,12350
69673,8790
34011,25450
26583,8790
11238,25999
28350,12840
6824,21498
15886,32900
51501,12390
70955,21500
69592,25000
14190,29889
5212,9500
49888,31000
14324,20291
46596,7759
28578,17999
67722,12995
17133,69995
72070,6220
38597,46000
68904,8100
23766,25000
54964,13300
25110,5250
42104,25950
22357,13590
48808,21570
13890,9950
27812,50480
53472,20999
2236,19100
16049,27990
31050,14853
17272,8990
75669,42990
32946,8299
17712,15690
12503,17450
39623,10995
33537,16500
35484,19990
68865,6450
29126,16499
13432,5995
75185,28990
21990,14950
35469,6945
66171,7498
70247,1990
71635,19900
36580,11498
3085,11995
16546,24495
32079,9700
32842,5000
38741,26112
7745,28900
75857,8199
24990,9800
28288,7984
32952,22888
3733,10491
60500,8390
64048,23788
47774,6390
8541,20000
40479,13499
31401,21995
72951,16249
32013,18450
42453,4000
21363,18995
63929,6590
74476,9999
14095,6600
24718,8690
70896,22992
60779,8490
32287,11923
16935,25799
41859,7430
39528,18799
43672,20990
49644,15450
4646,31995
21366,12499
49945,9299
21489,10660
47237,10495
71568,36599
43915,5310
55117,12200
3254,15998
39702,32000
49778,18980
249,20849
10964,19390
55831,13995
18545,14999
39634,12000
26388,37298
24155,10890
55828,14789
1627,33988
54397,15998
25177,14759
8880,9999
49296,4998
62276,18797
23305,13595
65067,27280
75179,6490
54929,8990
47925,19750
64092,6499
68943,23500
49912,10440
66529,15495
527,9998
14088,6614
23904,9998
24840,14200
15634,7998
66000,16998
33054,23790
65385,22490
5211,8998
10421,19989
826,16998
9328,16000
29119,12221
15394,27998
63963,9770
72358,14000
14447,31999
21760,18990
58018,16499
64135,54980
41079,18495
62374,19990
23207,15750
20302,9150
2154,5499
54013,10990
1899,22899
38708,6799
64316,19100
60199,30989
47355,30500
73504,28450
17471,14500
41169,10698
67539,7710
23423,24999
12831,15995
16168,26999
51720,11711
74751,4500
44488,6498
12870,30990
60379,20500
29345,12000
62096,9700
67264,9463
37872,10950
72110,12430
57609,5995
61394,14480
68318,13991
55138,12100
48139,10268
75227,8485
22434,15998
743,5850
62194,14991
52990,10990
20383,23450
7925,8590
7718,29950
9375,15500
9554,11450
35438,32888
47736,5995
9609,34995
4401,5491
49195,15295
43793,11499
11469,27995
56793,21680
75333,13995
7428,17999
18156,17541
47202,32495
49137,5995
4527,12500
43357,12650
62623,8495
39743,10900
62637,3990
26658,24988
29683,17000
53221,28490
55708,16495
50623,14000
41841,23990
56463,20000
17796,11900
1421,21450
22221,10995
40694,9995
62701,9000
63047,11000
26679,11995
44864,12995
64472,8999
18570,9700
74915,13995
34152,19990
9637,13900
52996,21190
3723,18823
36938,10395
65538,4498
53992,8999
49150,15401
61717,23996
30094,15490
19475,16980
11379,17999
74006,5998
69090,13290
27235,20000
20965,17300
17475,20435
42944,14750
9849,9499
13400,10491
5153,10499
44770,9479
39384,6450
47429,26780
43693,17520
25173,17861
19627,18695
24509,6500
17258,10990
43310,10550
65330,31950
13946,22980
27974,14247
31015,22470
8362,4990
64335,9540
34096,13990
65698,12400
37439,12680
67441,9999
31333,22990
45637,23450
72181,29595
45429,9499
4193,11800
17780,9530
28429,9832
11218,9740
31475,32919
36463,8998
14078,10500
20937,19495
34622,23490
34270,15921
41425,7200
51774,6991
56104,22999
71121,27990
69287,9995
70801,17350
74219,7891
68018,8240
42340,13299
72728,8490
22296,18998
73190,34995
10930,29386
66841,5995
37723,18785
35386,24000
16081,28395
57106,9995
24031,19995
26865,18000
33958,16567
15720,5347
38159,20299
48713,13290
22749,10998
52736,21998
47505,8000
41450,25744
25504,21450
11319,11499
53880,8591
73358,16495
60083,11491
41632,16452
32135,6980
62046,8750
72914,15200
43084,6377
6239,22250
14986,30980
61766,14498
45168,15997
46107,20520
55113,7500
27232,9375
14043,23990
37448,34900
24468,11995
18828,12750
42850,24989
70042,15495
51541,13661
70271,8748
38461,14498
30896,20998
10203,9795
43418,11999
66086,26490
61727,17400
71115,28495
52427,12991
41224,15400
31149,18995
70097,7698
68089,19500
57589,12750
25024,7900
34990,9598
17938,7795
3342,7400
17148,8450
7264,10800
6434,12000
7935,24480
60564,56995
54438,7500
28822,13990
17861,27300
2271,26695
68304,11489
15304,32450
43824,21495
38682,12995
25250,25890
70151,48399
25937,16000
2351,26991
40563,14560
31625,16490
13658,5295
59403,14149
16282,19495
38083,10495
75216,10300
68878,9290
27289,17495
41439,8499
69468,19000
1361,10795
45922,21726
33638,31350
41701,23900
34582,19170
16335,14530
36053,10750
53491,10990
25787,15280
65205,17712
11662,14954
63832,8899
50095,20490
75066,10799
25824,8998
72508,10995
16561,4995
54591,18490
53135,7099
14178,8199
19309,5499
47957,20990
26389,7290
24364,17230
49024,7995
24687,5702
38602,15500
27580,19290
34775,26991
70641,15300
70743,13990
60386,13695
24437,17199
47966,16902
46334,13799
69382,21898
15382,7500
7340,14000
10684,5993
67404,5495
18646,9200
30773,7882
14097,35450
1573,15950
31215,14490
31038,17000
67259,5900
41943,11990
54464,13650
44913,28500
21465,6998
20471,28500
1080,20599
45149,36995
73193,13000
59423,8495
49985,16300
73832,8000
49769,11968
38723,8999
50678,21999
73688,12995
61651,24889
7503,9590
52213,32649
7575,15498
19616,9000
10386,32995
64272,39998
65839,28099
74819,24988
56389,12690
7809,27999
12995,11485
72401,11399
59777,29690
5908,10260
69425,13000
316,26980
70223,12795
59548,26888
4594,10995
21720,25595
12366,12295
14961,12000
63912,15698
45736,10200
51006,6691
69310,20490
46539,21498
42489,12589
45336,22695
61107,12698
20586,9301
49108,9499
66058,14995
44725,18690
26561,43999
45390,19980
28680,12497
62940,4995
27226,20998
5758,21498
50046,14199
29298,8995
62006,10200
21426,19490
65838,10600
62915,19989
14359,11300
34781,14995
30966,10471
17472,51880
10301,17000
18946,30001
45893,9017
23311,13991
65441,10290
19664,14245
47789,11491
27217,24990
44098,15000
14841,11998
57315,23499
17628,25999
11485,8310
17146,34990
21393,28488
60831,9498
42001,9900
44435,18000
55851,17490
26958,12490
51010,14820
68243,12990
64844,6599
69681,22299
4172,25936
74443,33990
1515,5300
26256,10000
41938,13698
2325,15957
40088,11995
70987,11595
46135,4590
29196,22499
55618,19995
41451,3989
27517,25299
32233,16691
19215,7295
25602,8417
23784,88980
49793,12490
49351,20980
27486,17299
9610,8300
2294,11491
54286,8995
14931,26750
73200,12950
17541,8995
7151,11999
929,34990
25763,17800
60395,30400
8524,9499
69199,29991
63399,14990
42843,18000
32662,14899
49680,18000
58255,9298
26219,16490
15079,11250
11688,19899
13751,9500
1096,6395
352,8498
17833,22188
35914,14994
11172,15500
42875,10165
23427,28980
33345,11900
45595,8298
58350,7800
58367,27810
27419,13499
71332,7900
19654,11199
26744,112990
34467,19989
16224,48990
64750,28000
18434,4195
61261,14999
61892,25990
7421,14491
21932,10000
10202,38000
45996,19500
75077,27480
34865,7998
49059,21490
24701,13991
14509,40602
17092,14995
52656,26399
72641,11982
14173,42599
38992,11647
57432,7298
67918,6290
60230,15490
2529,8999
62850,12495
22814,1995
74488,11490
21355,22950
70141,18698
5954,31900
31750,22990
19299,11495
36124,18249
19668,27102
55303,11998
33337,18995
15891,9990
65302,14270
57490,8444
71780,10000
52988,11495
47763,11990
21686,13968
29823,18000
57144,30990
49732,16400
66991,26995
26890,25999
1792,30980
69373,9690
37988,7275
60759,31980
21975,53995
41331,16800
60774,8689
56970,13000
74073,20995
10849,9600
70770,12630
41282,8990
3312,14995
70173,4785
52323,16345
40376,17990
56479,24475
7999,21420
9788,22500
72232,19950
51451,43990
36648,10798
49512,28000
28904,16995
15953,11298
29481,9500
29452,9795
55274,2950
63854,14495
10474,9422
63524,9495
8879,2750
31327,26300
32390,13500
54638,11990
18822,18950
47250,10500
11140,22632
6480,24999
31326,18700
18784,32900
70863,8500
15189,17995
17062,7295
73604,16998
55577,19899
6265,19991
62696,24980
23067,6500
701,23498
2829,14500
28279,9700
64737,8995
33787,18400
7558,14290
25826,12020
12297,31995
46434,29990
35932,6999
1375,24999
35024,7995
72269,10500
4378,8495
53085,10490
69721,27490
71501,9655
59099,9795
45102,11000
67220,16500
64465,19995
36271,25999
21585,17495
58727,22250
46769,7999
50117,21000
38353,11995
57266,20000
25859,6999
56776,6995
49725,33991
54883,8498
42354,6850
69518,9800
60457,17498
55680,15495
64147,35749
10625,21490
53424,32900
28802,49996
29574,25490
39309,6434
52838,30480
7561,18995
71201,13495
46965,18998
40988,10495
57614,42990
10196,13500
67524,17991
51445,15888
32148,17990
31704,12000
12356,7990
56841,17200
21372,15299
5405,14869
23714,8940
60633,10995
44996,12740
8224,8500
56964,28490
30371,10299
16175,19990
38705,34500
37453,15490
11478,36699
22758,11495
70992,8675
15314,20990
36207,16490
72094,10291
32424,22726
60439,14495
32087,22980
1084,9380
37520,25000
12203,6365
3779,27285
37595,7495
65507,8999
64231,9995
6152,17500
14949,12765
43517,34000
50418,16295
46538,9478
58820,12999
890,19300
62436,17995
18687,12400
54832,10498
19977,9589
2156,11299
34335,17950
58663,11998
58911,10795
67651,25749
23103,22500
43526,14695
5030,5994
27297,24990
36812,14995
15989,32305
72320,10799
39119,12295
68737,10498
1995,17990
70843,22000
8502,34368
70926,24950
15521,5495
57952,15251
14713,30543
37936,10776
28851,6298
36609,15369
71072,9995
28029,25500
14060,10999
31168,31995
71291,11990
50604,21480
41677,35245
66939,16999
1117,10990
49375,16100
65875,16999
18157,14500
66091,9790
25815,15810
60446,10995
59961,7841
61561,22984
41174,5995
32985,21795
35001,12300
46813,5995
54974,5750
45976,33500
24733,12150
22841,27291
34334,12791
47689,10000
48840,13991
226,7990
38502,13950
37170,18995
33760,18800
72550,22302
62042,11500
66469,10999
72482,12500
2711,12491
56635,26390
32663,26060
74248,39000
40442,9299
57104,17140
11383,9720
920,9280
64340,11998
1227,17700
48698,21998
57731,19300
30235,5799
56801,24995
65662,13990
27533,4991
24276,43999
60512,22995
14191,18500
64206,37495
69188,7990
72096,17920
64330,12331
29497,22900
10125,37295
7022,11990
62606,17998
29737,7000
69811,23250
62839,19995
5536,27499
844,46500
64812,20998
11895,19966
15083,23690
74747,10499
60778,12500
38147,12036
18070,6998
29776,9495
68926,10498
25679,12200
18140,4290
2689,26836
72719,5998
3630,7295
45243,13298
66613,13400
65881,30000
15946,11091
53536,8690
9345,19400
11875,28580
40486,40990
26638,8150
3907,13084
22563,24950
49511,10795
60066,10998
44302,9995
103,15498
30937,5580
8556,9799
42157,13690
8104,21495
558,28452
53543,8340
53564,22498
66385,7000
45983,17500
9280,10580
5712,25298
50675,18995
24554,6999
36584,11000
24162,13998
29487,28890
45859,9898
46744,7995
48548,13495
22025,8995
61460,10495
69611,4495
54982,42995
6585,5300
53734,36995
51668,11498
67712,18798
13033,12000
48365,3595
74679,6665
53676,10262
69584,20500
62890,19498
47016,30995
50410,24490
26315,12995
48595,10990
54980,13750
40176,25990
14443,19995
43821,21839
45594,18500
71075,6995
61303,15490
9472,6790
25638,37891
5086,25691
9805,12995
59831,28199
44728,13500
69931,20435
44698,23980
67998,17450
70742,42995
7553,30990
5382,31460
47223,15990
27463,18695
23917,11400
32061,10990
44151,17599
57824,12366
65376,7495
71517,23000
54477,22498
39350,26890
64202,7389
3910,9990
69734,12750
63545,23000
53975,16970
13056,13782
20367,43995
53512,73495
30434,8750
37584,12690
60607,28332
41148,10299
10913,5875
14054,9560
68569,13799
74547,19260
30484,6999
4540,12941
38211,16998
1558,39799
11170,8975
57318,21499
75463,23999
67572,10195
8788,17745
14559,26029
37090,12997
18242,15498
23353,8500
16872,19799
11751,9740
624,9399
27346,21726
5065,8100
23690,2195
11996,25995
68433,15199
70839,16000
22789,2000
70196,11980
54683,11695
11947,16222
28296,12250
49465,12999
14710,8499
51832,4695
70818,17000
8248,17800
9018,21490
6428,10999
63571,16999
9363,13498
8743,17900
11995,5080
47885,9471
67991,22495
8073,16250
4633,9750
1646,9395
61048,10795
55954,16500
20245,11382
45441,13102
36813,16562
1022,10277
21004,28990
74885,17590
67222,14800
5583,8999
58339,10559
70639,11190
38667,24900
6600,23995
58268,9495
30968,11000
28760,17899
59969,14250
36332,12490
31561,24950
14877,11495
1710,22150
1133,7395
44360,6795
5003,14806
37634,16950
24172,8798
70052,19698
62455,31450
6360,16107
46847,14999
49784,10995
5534,27991
11126,17495
18018,12498
27491,14000
70697,12650
13410,19676
21431,19995
30506,11495
70419,8680
11264,10499
42869,12999
31952,21032
31968,10699
47647,7341
63685,15499
51176,30995
74499,3990
71015,5500
41248,48000
57701,25490
10916,9790
62758,44000
36100,51895
63580,21836
33463,17992
70962,11795
17496,12300
38388,17495
27040,13590
33823,13591
22464,25999
28245,17925
56308,67000
73220,13690
27108,7692
25673,39200
30879,9500
69472,5999
42936,10495
34845,7683
14661,48422
25204,5500
43225,24350
45432,12999
68683,20149
41883,8995
31615,22492
35190,22699
43161,19990
62967,9490
24378,10899
48226,18999
32654,15998
65006,10000
27128,18998
20053,7195
11769,11890
73486,19490
42306,11100
52450,24990
44686,20599
10318,6160
66871,16499
49408,25395
18575,17491
21167,15890
24821,16640
35869,16799
25789,20995
61666,9990
29436,18950
38975,24999
36038,20875
63835,22495
67634,6499
9022,12995
10470,9900
1720,17499
32829,16998
22015,9798
37899,11698
19024,7998
56108,9998
30087,28752
39240,44495
63826,17290
68106,7250
66919,34995
68711,11999
23123,33980
27230,39500
44621,14498
65172,14500
42701,10900
58480,25995
2312,8390
16977,27000
52041,22470
8595,14495
34291,8846
72574,36599
75444,27999
58786,36490
11570,9199
26436,21990
33235,17995
50147,13490
21034,17990
65355,18511
10634,25879
52873,34995
47697,6100
4608,17495
54197,11500
44805,6500
58844,13390
39278,11797
29477,10295
27082,17500
34136,13998
12848,8991
38167,10000
15009,16498
63798,9985
50943,16999
35542,13998
2111,12199
41426,8041
61661,6190
12631,14980
60882,14700
4393,22000
54230,36399
34160,14599
16352,16999
46807,16950
73403,6191
32154,29980
25099,19750
11964,12499
45214,32800
11393,29189
16995,50899
39069,27490
33,6800
26023,22597
24333,9495
1589,21099
63088,5995
34075,15542
43285,23500
71265,27000
56068,7256
5454,7991
14396,5971
49199,8095
37020,17950
36210,23490
17594,10990
56092,12500
52465,16895
36082,16498
39745,4990
12173,16000
38202,16489
48198,7999
14378,11490
18320,14200
45763,12400
33745,10490
21116,19290
4394,14980
64311,7400
48298,18545
36948,8662
23914,9500
14169,8000
24402,10260
11997,13000
27397,9489
960,20450
67442,9250
32643,10998
12855,35000
55846,27982
18010,20000
54385,13500
56015,8921
60279,11995
32033,9300
30030,27400
36411,20750
12888,9980
65519,16990
46128,16291
42757,8682
18590,44320
53896,30719
37099,14951
11460,20890
10143,27991
63017,11990
51439,9950
47451,24990
48940,12000
22956,21390
40490,9540
44958,7490
4042,29555
64496,29000
46700,16400
70278,16991
57429,21980
58014,9500
30355,24990
17209,29490
5797,6995
11232,2995
45451,17401
42852,18199
16481,19998
35183,26795
52419,11860
72929,6991
8769,14500
28893,30500
20406,26998
48678,28810
21852,4950
42280,19200
64259,17995
3916,17988
58127,24994
42924,32056
46526,9500
31264,5490
24386,15799
15743,15950
11310,11995
28690,24990
29410,41500
16838,15500
19417,17998
2407,11995
52149,26000
3020,13140
2464,15295
65792,8799
75750,29995
34569,31999
37045,7438
23456,12950
2608,18000
47579,14990
59087,40890
36745,10499
45490,50414
65876,19499
69891,9600
63733,19245
8969,18950
31114,6128
57005,17170
30732,15990
11334,8698
45750,25998
28011,14650
6920,47789
32765,12995
47959,36000
54227,8570
43244,17990
17305,16995
21248,14999
8551,2995
44070,22890
26921,10795
41257,6799
37025,11490
65427,4950
25888,14451
17695,14799
62740,6495
1892,22991
60650,13298
6583,10000
25253,8995
74294,14395
20540,12490
61263,6495
64021,14370
16171,12300
74327,12198
23318,14830
55016,20999
17931,18795
43702,12995
7711,10799
33184,14799
14976,11784
15457,7990
8244,14995
30582,14998
24567,35995
25227,6998
886,11670
38191,6750
25494,13990
18403,18999
27771,18700
18183,14250
5515,7890
45682,8240
51120,6795
38457,10998
44103,28975
54930,28990
65113,11979
33776,12594
54711,26095
9917,7991
46315,10995
25555,23791
61856,30442
41501,10500
55447,7995
39643,7295
65596,8998
26755,13490
31469,10991
46887,5440
52899,7495
11311,14500
74813,25500
51108,19560
45864,9250
36725,27450
53560,10800
33750,25316
52217,30982
53495,15250
28091,10998
26621,41995
22024,13289
199,36890
67072,22250
13141,16199
5680,14995
30552,7640
23003,17000
47318,8995
33408,24998
28238,9967
53229,16500
57779,17000
62753,17520
73416,11495
43375,18688
21073,6295
28659,10450
61839,13400
36621,11100
36802,23995
51889,14975
33161,8499
16260,12655
24405,6112
61937,5975
10828,9999
62000,14990
54603,7395
51456,7999
64492,68000
72283,19999
4521,17500
21596,16495
75887,39995
58103,5499
4370,24626
37742,23991
19930,17000
74437,3995
44051,7490
70868,18588
50351,31495
75008,5499
13405,18000
61870,28750
